project_id,client_id,lead_source_id,project_type,area_sqft,contract_value_aed,estimated_budget_aed,start_date,planned_end_date,actual_end_date,status,planned_duration_days,actual_duration_days,schedule_delay_days,schedule_delay_days_filled,is_delayed,cost_entry_id,material_cost_aed,labour_cost_aed,subcontractor_cost_aed,equipment_rental_aed,permitting_fees_aed,actual_total_cost_aed,gross_profit_aed,gross_margin_pct,cost_variance_aed,cost_overrun_pct,subcontractor_pct_of_cost
PRJ-2023-011,CL-1004,LS-02,Commercial Plaza,12528,707500,466600.0,2023-12-26,2024-07-03,2024-07-01,Completed,190,188.0,-2.0,-2.0,0,CST-0011,263700.0,166500.0,145100.0,69400.0,-6800.0,637900.0,69600.0,9.84,171300.0,36.71,22.75
PRJ-2023-012,CL-1004,LS-01,Pool & Hardscape,2069,274000,178800.0,2023-04-22,2023-06-16,2023-06-13,Completed,55,52.0,-3.0,-3.0,0,CST-0012,65900.0,39000.0,29200.0,19300.0,11700.0,165100.0,108900.0,39.74,-13700.0,-7.66,17.69
PRJ-2023-013,CL-1056,LS-01,Pool & Hardscape,2577,471500,333200.0,2023-01-02,2023-03-27,2023-03-26,Completed,84,83.0,-1.0,-1.0,0,CST-0013,152400.0,88600.0,84800.0,33800.0,3900.0,363500.0,108000.0,22.91,30300.0,9.09,23.33
PRJ-2023-014,CL-1047,LS-04,Commercial Plaza,7146,559000,366500.0,2023-05-08,2023-09-21,2023-09-18,Completed,136,133.0,-3.0,-3.0,0,CST-0014,143600.0,81800.0,71800.0,39900.0,10000.0,347100.0,211900.0,37.91,-19400.0,-5.29,20.69
PRJ-2023-015,CL-1086,LS-04,Pool & Hardscape,2336,346000,242000.0,2024-03-06,2024-05-13,2024-05-11,Completed,68,66.0,-2.0,-2.0,0,CST-0015,100500.0,57300.0,38200.0,16500.0,16000.0,228500.0,117500.0,33.96,-13500.0,-5.58,16.72
PRJ-2023-016,CL-1079,LS-03,Commercial Plaza,12653,812000,584600.0,2024-03-16,2024-11-26,2024-11-25,Completed,255,254.0,-1.0,-1.0,0,CST-0016,247200.0,141800.0,95500.0,51500.0,42200.0,578200.0,233800.0,28.79,-6400.0,-1.09,16.52
PRJ-2023-017,CL-1060,LS-04,Pool & Hardscape,2811,470500,321900.0,2023-03-28,2023-05-27,2023-05-27,Completed,60,60.0,0.0,0.0,0,CST-0017,189300.0,117300.0,69500.0,45800.0,10000.0,431900.0,38600.0,8.2,110000.0,34.17,16.09
PRJ-2023-018,CL-1012,LS-02,Pool & Hardscape,2271,308000,217500.0,2023-09-08,2023-11-13,2023-11-12,Completed,66,65.0,-1.0,-1.0,0,CST-0018,84300.0,55000.0,36000.0,19500.0,18100.0,212900.0,95100.0,30.88,-4600.0,-2.11,16.91
PRJ-2023-019,CL-1059,LS-04,Full Villa Landscape,7659,696000,466100.0,2024-02-14,2024-07-27,2024-08-06,Completed,164,174.0,10.0,10.0,1,CST-0019,206600.0,112600.0,95600.0,37700.0,25200.0,477700.0,218300.0,31.36,11600.0,2.49,20.01
PRJ-2023-020,CL-1100,LS-04,Full Villa Landscape,4292,313000,204400.0,2023-02-21,2023-05-31,2023-05-26,Completed,99,94.0,-5.0,-5.0,0,CST-0020,115500.0,75000.0,60600.0,22500.0,16700.0,290300.0,22700.0,7.25,85900.0,42.03,20.87
PRJ-2023-021,CL-1018,LS-04,Irrigation & Softscape,4234,183000,124600.0,2024-05-31,2024-09-13,2024-09-12,Completed,105,104.0,-1.0,-1.0,0,CST-0021,59600.0,35200.0,22300.0,12000.0,10500.0,139600.0,43400.0,23.72,15000.0,12.04,15.97
PRJ-2023-022,CL-1115,LS-02,Irrigation & Softscape,4546,234500,161500.0,2023-10-11,2024-01-06,2024-01-05,Completed,87,86.0,-1.0,-1.0,0,CST-0022,71400.0,44600.0,30500.0,12000.0,6600.0,165100.0,69400.0,29.59,3600.0,2.23,18.47
PRJ-2023-023,CL-1081,LS-02,Irrigation & Softscape,2624,107500,72000.0,2023-12-10,2024-02-21,2024-02-20,Completed,73,72.0,-1.0,-1.0,0,CST-0023,32500.0,21100.0,14000.0,9100.0,7800.0,84500.0,23000.0,21.4,12500.0,17.36,16.57
PRJ-2023-024,CL-1018,LS-02,Full Villa Landscape,4394,361500,256400.0,2024-02-29,2024-06-11,2024-06-10,Completed,103,102.0,-1.0,-1.0,0,CST-0024,111700.0,69200.0,49600.0,31100.0,11900.0,273500.0,88000.0,24.34,17100.0,6.67,18.14
PRJ-2023-025,CL-1054,LS-01,Irrigation & Softscape,2347,119500,82800.0,2024-08-12,2024-09-30,2024-10-10,Completed,49,59.0,10.0,10.0,1,CST-0025,32200.0,20600.0,13800.0,6700.0,4800.0,78100.0,41400.0,34.64,-4700.0,-5.68,17.67
PRJ-2023-026,CL-1039,LS-04,Pool & Hardscape,2716,428000,286200.0,2024-05-14,2024-07-13,2024-08-19,Completed,60,97.0,37.0,37.0,1,CST-0026,159200.0,98400.0,66500.0,31800.0,36000.0,391900.0,36100.0,8.43,105700.0,36.93,16.97
PRJ-2023-027,CL-1004,LS-04,Irrigation & Softscape,2876,134500,89300.0,2024-04-23,2024-06-24,2024-06-23,Completed,62,61.0,-1.0,-1.0,0,CST-0027,34600.0,20500.0,14600.0,8900.0,9300.0,87900.0,46600.0,34.65,-1400.0,-1.57,16.61
PRJ-2023-028,CL-1117,LS-04,Full Villa Landscape,7348,664000,476800.0,2023-05-19,2023-10-07,2023-10-03,Completed,141,137.0,-4.0,-4.0,0,CST-0028,209800.0,109000.0,87000.0,50300.0,30000.0,486100.0,177900.0,26.79,9300.0,1.95,17.9
PRJ-2023-029,CL-1034,LS-04,Full Villa Landscape,5181,386000,269100.0,2023-10-12,2024-01-22,2024-01-20,Completed,102,100.0,-2.0,-2.0,0,CST-0029,109700.0,63900.0,49800.0,27500.0,600.0,251500.0,134500.0,34.84,-17600.0,-6.54,19.8
PRJ-2023-030,CL-1107,LS-01,Pool & Hardscape,2926,355000,242200.0,2023-08-18,2023-10-22,2023-10-22,Completed,65,65.0,0.0,0.0,0,CST-0030,100400.0,64000.0,50500.0,24300.0,21100.0,260300.0,94700.0,26.68,18100.0,7.47,19.4
PRJ-2023-031,CL-1097,LS-01,Full Villa Landscape,4525,334500,240400.0,2023-05-10,2023-09-01,2023-08-27,Completed,114,109.0,-5.0,-5.0,0,CST-0031,120100.0,61800.0,52600.0,23800.0,15200.0,273500.0,61000.0,18.24,33100.0,13.77,19.23
PRJ-2023-032,CL-1060,LS-03,Commercial Plaza,18564,1075000,728400.0,2023-06-17,2024-03-08,2024-03-03,Completed,265,260.0,-5.0,-5.0,0,CST-0032,308600.0,194700.0,152800.0,66200.0,66100.0,788400.0,286600.0,26.66,60000.0,8.24,19.38
PRJ-2023-033,CL-1119,LS-03,Full Villa Landscape,7216,689000,449900.0,2023-03-19,2023-08-13,2023-08-13,Completed,147,147.0,0.0,0.0,0,CST-0033,186900.0,124900.0,93800.0,33300.0,20700.0,459600.0,229400.0,33.29,9700.0,2.16,20.41
PRJ-2023-034,CL-1014,LS-03,Commercial Plaza,19931,1374000,911800.0,2023-12-22,2024-10-17,2024-10-17,Completed,300,300.0,0.0,0.0,0,CST-0034,564200.0,354900.0,293500.0,100800.0,-25700.0,1287700.0,86300.0,6.28,375900.0,41.23,22.79
PRJ-2023-035,CL-1009,LS-03,Pool & Hardscape,1051,188500,124900.0,2024-01-06,2024-02-24,2024-02-22,Completed,49,47.0,-2.0,-2.0,0,CST-0035,47600.0,26300.0,22400.0,14000.0,7500.0,117800.0,70700.0,37.51,-7100.0,-5.68,19.02
PRJ-2023-036,CL-1056,LS-02,Commercial Plaza,18022,1140000,768900.0,2024-04-21,2025-02-26,,In Progress,311,,,0.0,0,CST-0036,149800.0,86700.0,68000.0,41300.0,4900.0,350700.0,789300.0,69.24,-418200.0,-54.39,19.39
PRJ-2023-037,CL-1042,LS-02,Pool & Hardscape,1354,189000,130100.0,2024-08-06,2024-09-23,2024-09-21,Completed,48,46.0,-2.0,-2.0,0,CST-0037,74200.0,40200.0,32200.0,20800.0,8000.0,175400.0,13600.0,7.2,45300.0,34.82,18.36
PRJ-2023-038,CL-1004,LS-04,Pool & Hardscape,2331,309500,218200.0,2023-12-15,2024-02-09,2024-02-08,Completed,56,55.0,-1.0,-1.0,0,CST-0038,90800.0,47800.0,44200.0,20300.0,10700.0,213800.0,95700.0,30.92,-4400.0,-2.02,20.67
PRJ-2023-039,CL-1072,LS-01,Pool & Hardscape,3116,580500,414500.0,2024-05-15,2024-07-27,2024-07-23,Completed,73,69.0,-4.0,-4.0,0,CST-0039,194200.0,99700.0,77600.0,44300.0,27900.0,443700.0,136800.0,23.57,29200.0,7.04,17.49
PRJ-2023-040,CL-1083,LS-04,Irrigation & Softscape,3335,166000,118400.0,2023-09-07,2023-12-07,2024-01-09,Completed,91,124.0,33.0,33.0,1,CST-0040,43400.0,30600.0,20100.0,11200.0,6700.0,112000.0,54000.0,32.53,-6400.0,-5.41,17.95
PRJ-2023-041,CL-1071,LS-03,Irrigation & Softscape,3242,178000,121300.0,2023-10-05,2023-12-30,2023-12-26,Completed,86,82.0,-4.0,-4.0,0,CST-0041,48600.0,29500.0,27500.0,9400.0,2200.0,117200.0,60800.0,34.16,-4100.0,-3.38,23.46
PRJ-2023-042,CL-1093,LS-02,Full Villa Landscape,5084,358000,244300.0,2023-07-16,2023-10-17,2023-11-26,Completed,93,133.0,40.0,40.0,1,CST-0042,106600.0,68700.0,48600.0,22700.0,17500.0,264100.0,93900.0,26.23,19800.0,8.1,18.4
PRJ-2023-043,CL-1093,LS-03,Pool & Hardscape,1411,251500,175900.0,2023-11-06,2023-12-21,2024-02-03,Completed,45,89.0,44.0,44.0,1,CST-0043,76000.0,52200.0,44700.0,13700.0,-200.0,186400.0,65100.0,25.88,10500.0,5.97,23.98
PRJ-2023-044,CL-1036,LS-01,Commercial Plaza,6893,443500,297700.0,2023-04-16,2023-10-03,2023-10-02,Completed,170,169.0,-1.0,-1.0,0,CST-0044,123200.0,77100.0,65100.0,25000.0,-7800.0,282600.0,160900.0,36.28,-15100.0,-5.07,23.04
PRJ-2023-045,CL-1061,LS-04,Pool & Hardscape,2804,403500,263200.0,2023-04-27,2023-07-18,2023-07-16,Completed,82,80.0,-2.0,-2.0,0,CST-0045,112400.0,68400.0,63600.0,27300.0,-5400.0,266300.0,137200.0,34.0,3100.0,1.18,23.88
PRJ-2023-046,CL-1010,LS-01,Irrigation & Softscape,2121,71500,48700.0,2023-09-12,2023-11-07,2023-12-13,Completed,56,92.0,36.0,36.0,1,CST-0046,19600.0,12800.0,11600.0,3800.0,1400.0,49200.0,22300.0,31.19,500.0,1.03,23.58
PRJ-2023-047,CL-1100,LS-04,Commercial Plaza,13381,1027500,718400.0,2023-11-09,2024-07-06,2024-07-01,Completed,240,235.0,-5.0,-5.0,0,CST-0047,276600.0,158200.0,139500.0,70900.0,24200.0,669400.0,358100.0,34.85,-49000.0,-6.82,20.84
PRJ-2023-048,CL-1098,LS-02,Full Villa Landscape,7624,568000,382700.0,2023-06-27,2023-12-18,2023-12-14,Completed,174,170.0,-4.0,-4.0,0,CST-0048,149900.0,94400.0,88000.0,42500.0,4000.0,378800.0,189200.0,33.31,-3900.0,-1.02,23.23
PRJ-2023-049,CL-1053,LS-04,Full Villa Landscape,7364,634500,455400.0,2024-04-09,2024-09-16,2024-10-10,Completed,160,184.0,24.0,24.0,1,CST-0049,174600.0,96900.0,97600.0,44800.0,26300.0,440200.0,194300.0,30.62,-15200.0,-3.34,22.17
PRJ-2023-050,CL-1101,LS-02,Pool & Hardscape,2741,351000,247200.0,2023-05-26,2023-08-12,2023-09-01,Completed,78,98.0,20.0,20.0,1,CST-0050,102300.0,60800.0,39800.0,18300.0,26400.0,247600.0,103400.0,29.46,400.0,0.16,16.07
PRJ-2023-051,CL-1077,LS-03,Pool & Hardscape,2798,360000,241800.0,2023-10-06,2023-12-13,2023-12-11,Completed,68,66.0,-2.0,-2.0,0,CST-0051,116500.0,76200.0,58300.0,21900.0,9400.0,282300.0,77700.0,21.58,40500.0,16.75,20.65
PRJ-2023-052,CL-1011,LS-01,Irrigation & Softscape,3269,158000,107100.0,2023-08-23,2023-11-20,2023-11-19,Completed,89,88.0,-1.0,-1.0,0,CST-0052,44300.0,27400.0,23400.0,11700.0,-4600.0,102200.0,55800.0,35.32,-4900.0,-4.58,22.9
PRJ-2023-053,CL-1098,LS-03,Full Villa Landscape,7220,482500,321900.0,2023-10-12,2024-03-09,2024-04-15,Completed,149,186.0,37.0,37.0,1,CST-0053,117800.0,81400.0,70400.0,27500.0,7900.0,305000.0,177500.0,36.79,-16900.0,-5.25,23.08
PRJ-2023-054,CL-1012,LS-04,Irrigation & Softscape,2925,117500,82000.0,2023-12-04,2024-02-22,2024-02-20,Completed,80,78.0,-2.0,-2.0,0,CST-0054,33500.0,20900.0,18300.0,8500.0,-4400.0,76800.0,40700.0,34.64,-5200.0,-6.34,23.83
PRJ-2023-055,CL-1085,LS-04,Pool & Hardscape,3253,398500,284500.0,2023-04-29,2023-07-24,2023-07-22,Completed,86,84.0,-2.0,-2.0,0,CST-0055,127100.0,71900.0,70200.0,33000.0,-2600.0,299600.0,98900.0,24.82,15100.0,5.31,23.43
PRJ-2023-056,CL-1085,LS-04,Full Villa Landscape,5885,397000,271400.0,2024-03-28,2024-07-27,2024-07-23,Completed,121,117.0,-4.0,-4.0,0,CST-0056,124200.0,83800.0,52900.0,35600.0,17100.0,313600.0,83400.0,21.01,42200.0,15.55,16.87
PRJ-2023-057,CL-1071,LS-02,Pool & Hardscape,2179,328500,220500.0,2023-09-03,2023-11-02,2023-10-30,Completed,60,57.0,-3.0,-3.0,0,CST-0057,102100.0,58900.0,43900.0,26100.0,6900.0,237900.0,90600.0,27.58,17400.0,7.89,18.45
PRJ-2023-058,CL-1071,LS-04,Full Villa Landscape,3263,245000,162000.0,2023-05-01,2023-08-05,2023-08-01,Completed,96,92.0,-4.0,-4.0,0,CST-0058,58500.0,35800.0,34300.0,17700.0,3200.0,149500.0,95500.0,38.98,-12500.0,-7.72,22.94
PRJ-2023-059,CL-1120,LS-03,Irrigation & Softscape,3584,170500,117800.0,2023-09-07,2023-12-05,2023-12-24,Completed,89,108.0,19.0,19.0,1,CST-0059,47100.0,32500.0,23700.0,13600.0,-200.0,116700.0,53800.0,31.55,-1100.0,-0.93,20.31
PRJ-2023-060,CL-1025,LS-02,Irrigation & Softscape,1785,66000,43900.0,2024-06-03,2024-07-28,2024-08-07,Completed,55,65.0,10.0,10.0,1,CST-0060,17600.0,12500.0,8200.0,3400.0,3400.0,45100.0,20900.0,31.67,1200.0,2.73,18.18
PRJ-2023-061,CL-1093,LS-03,Pool & Hardscape,3404,546500,368200.0,2024-04-02,2024-06-07,2024-06-04,Completed,66,63.0,-3.0,-3.0,0,CST-0061,146900.0,94400.0,74000.0,32900.0,20100.0,368300.0,178200.0,32.61,100.0,0.03,20.09
PRJ-2023-062,CL-1071,LS-04,Pool & Hardscape,2865,531000,350000.0,2024-08-08,2024-10-11,2024-11-16,Completed,64,100.0,36.0,36.0,1,CST-0062,140200.0,73000.0,77700.0,32200.0,8700.0,331800.0,199200.0,37.51,-18200.0,-5.2,23.42
PRJ-2023-063,CL-1041,LS-04,Full Villa Landscape,5623,463000,311800.0,2024-05-22,2024-08-28,2024-08-24,Completed,98,94.0,-4.0,-4.0,0,CST-0063,150200.0,86500.0,59200.0,36900.0,24700.0,357500.0,105500.0,22.79,45700.0,14.66,16.56
PRJ-2023-064,CL-1112,LS-01,Pool & Hardscape,2803,356000,233600.0,2024-02-24,2024-05-15,2024-05-11,Completed,81,77.0,-4.0,-4.0,0,CST-0064,96100.0,58700.0,41000.0,19100.0,8100.0,223000.0,133000.0,37.36,-10600.0,-4.54,18.39
PRJ-2023-065,CL-1061,LS-03,Full Villa Landscape,5273,490500,339500.0,2024-06-30,2024-11-14,2024-12-14,Completed,137,167.0,30.0,30.0,1,CST-0065,130200.0,74500.0,63400.0,38300.0,21000.0,327400.0,163100.0,33.25,-12100.0,-3.56,19.36
PRJ-2023-066,CL-1112,LS-01,Irrigation & Softscape,4029,128000,86500.0,2023-08-21,2023-11-07,2023-11-05,Completed,78,76.0,-2.0,-2.0,0,CST-0066,36800.0,21000.0,18000.0,6200.0,6200.0,88200.0,39800.0,31.09,1700.0,1.97,20.41
PRJ-2023-067,CL-1098,LS-01,Full Villa Landscape,6134,444500,310700.0,2023-11-29,2024-04-29,2024-04-26,Completed,152,149.0,-3.0,-3.0,0,CST-0067,124600.0,77900.0,59300.0,27700.0,11000.0,300500.0,144000.0,32.4,-10200.0,-3.28,19.73
PRJ-2023-068,CL-1048,LS-04,Pool & Hardscape,1596,219000,151400.0,2023-06-24,2023-08-07,2023-09-10,Completed,44,78.0,34.0,34.0,1,CST-0068,63900.0,39400.0,25600.0,10900.0,7400.0,147200.0,71800.0,32.79,-4200.0,-2.77,17.39
PRJ-2023-069,CL-1064,LS-02,Commercial Plaza,9804,599500,421000.0,2024-04-21,2024-11-06,2024-11-06,Completed,199,199.0,0.0,0.0,0,CST-0069,166700.0,112100.0,91700.0,43200.0,2900.0,416600.0,182900.0,30.51,-4400.0,-1.05,22.01
PRJ-2023-070,CL-1010,LS-04,Commercial Plaza,11661,928000,648700.0,2023-09-14,2024-03-15,2024-04-13,Completed,183,212.0,29.0,29.0,1,CST-0070,233100.0,143400.0,121000.0,68700.0,44800.0,611000.0,317000.0,34.16,-37700.0,-5.81,19.8
PRJ-2023-071,CL-1050,LS-04,Commercial Plaza,7747,413000,280800.0,2023-10-30,2024-03-24,2024-04-28,Completed,146,181.0,35.0,35.0,1,CST-0071,113300.0,62800.0,58500.0,25700.0,10800.0,271100.0,141900.0,34.36,-9700.0,-3.45,21.58
PRJ-2023-072,CL-1002,LS-01,Pool & Hardscape,3483,599500,396700.0,2023-08-24,2023-11-03,2023-10-31,Completed,71,68.0,-3.0,-3.0,0,CST-0072,149700.0,104300.0,87200.0,29600.0,22800.0,393600.0,205900.0,34.35,-3100.0,-0.78,22.15
PRJ-2023-073,CL-1082,LS-02,Commercial Plaza,16172,869500,580100.0,2023-04-10,2023-12-19,2023-12-19,Completed,253,253.0,0.0,0.0,0,CST-0073,238400.0,136800.0,89400.0,44900.0,35400.0,544900.0,324600.0,37.33,-35200.0,-6.07,16.41
PRJ-2023-074,CL-1040,LS-04,Full Villa Landscape,2773,252500,168900.0,2023-12-01,2024-02-22,2024-02-18,Completed,83,79.0,-4.0,-4.0,0,CST-0074,80200.0,48700.0,44800.0,18700.0,-5000.0,187400.0,65100.0,25.78,18500.0,10.95,23.91
PRJ-2023-075,CL-1017,LS-03,Commercial Plaza,14697,919500,644500.0,2024-05-08,2025-03-20,,In Progress,316,,,0.0,0,CST-0075,204000.0,120800.0,102400.0,44800.0,-1500.0,470500.0,449000.0,48.83,-174000.0,-27.0,21.76
PRJ-2023-076,CL-1103,LS-01,Pool & Hardscape,2918,547000,388500.0,2024-02-11,2024-04-11,2024-04-10,Completed,60,59.0,-1.0,-1.0,0,CST-0076,189000.0,115300.0,86200.0,36100.0,9000.0,435600.0,111400.0,20.37,47100.0,12.12,19.79
PRJ-2023-077,CL-1012,LS-04,Pool & Hardscape,1057,146500,104200.0,2024-08-21,2024-10-01,2024-11-03,Completed,41,74.0,33.0,33.0,1,CST-0077,44000.0,25900.0,21700.0,8600.0,3000.0,103200.0,43300.0,29.56,-1000.0,-0.96,21.03
PRJ-2023-078,CL-1087,LS-02,Full Villa Landscape,6362,420500,276700.0,2023-08-15,2023-12-20,2023-12-20,Completed,127,127.0,0.0,0.0,0,CST-0078,104300.0,63000.0,53500.0,20300.0,22200.0,263300.0,157200.0,37.38,-13400.0,-4.84,20.32
PRJ-2023-079,CL-1117,LS-03,Irrigation & Softscape,4159,167000,118600.0,2023-11-08,2024-01-18,2024-01-13,Completed,71,66.0,-5.0,-5.0,0,CST-0079,49900.0,26500.0,22800.0,11500.0,7500.0,118200.0,48800.0,29.22,-400.0,-0.34,19.29
PRJ-2023-080,CL-1031,LS-02,Full Villa Landscape,5683,485500,326800.0,2023-06-08,2023-09-27,2023-09-27,Completed,111,111.0,0.0,0.0,0,CST-0080,124800.0,84500.0,63700.0,32300.0,2800.0,308100.0,177400.0,36.54,-18700.0,-5.72,20.68
PRJ-2023-081,CL-1107,LS-04,Full Villa Landscape,7543,629000,411000.0,2023-08-11,2024-02-16,2024-03-12,Completed,189,214.0,25.0,25.0,1,CST-0081,190300.0,104100.0,88900.0,50900.0,38300.0,472500.0,156500.0,24.88,61500.0,14.96,18.81
PRJ-2023-082,CL-1013,LS-03,Pool & Hardscape,3230,591500,399200.0,2023-10-10,2024-01-15,2024-02-01,Completed,97,114.0,17.0,17.0,1,CST-0082,189800.0,124100.0,95400.0,46900.0,12400.0,468600.0,122900.0,20.78,69400.0,17.38,20.36
PRJ-2023-083,CL-1012,LS-02,Irrigation & Softscape,4128,190000,123900.0,2023-09-07,2023-12-30,2023-12-29,Completed,114,113.0,-1.0,-1.0,0,CST-0083,47500.0,25900.0,21900.0,12200.0,9500.0,117000.0,73000.0,38.42,-6900.0,-5.57,18.72
PRJ-2023-084,CL-1009,LS-02,Commercial Plaza,15607,820500,540800.0,2023-01-03,2023-11-01,2023-10-28,Completed,302,298.0,-4.0,-4.0,0,CST-0084,207000.0,115500.0,106400.0,36200.0,42300.0,507400.0,313100.0,38.16,-33400.0,-6.18,20.97
PRJ-2023-085,CL-1070,LS-03,Commercial Plaza,19082,975000,656900.0,2023-01-16,2024-04-03,2024-03-30,Completed,443,439.0,-4.0,-4.0,0,CST-0085,246200.0,166800.0,110200.0,60000.0,61900.0,645100.0,329900.0,33.84,-11800.0,-1.8,17.08
PRJ-2023-086,CL-1003,LS-02,Pool & Hardscape,2086,258000,172400.0,2023-03-07,2023-04-28,2023-04-25,Completed,52,49.0,-3.0,-3.0,0,CST-0086,65100.0,39700.0,36600.0,14700.0,9700.0,165800.0,92200.0,35.74,-6600.0,-3.83,22.07
PRJ-2023-087,CL-1058,LS-02,Full Villa Landscape,7538,504500,335600.0,2024-04-14,2024-08-20,2024-08-15,Completed,128,123.0,-5.0,-5.0,0,CST-0087,153600.0,87400.0,62800.0,37700.0,47200.0,388700.0,115800.0,22.95,53100.0,15.82,16.16
PRJ-2023-088,CL-1062,LS-04,Full Villa Landscape,5992,574500,393900.0,2023-03-17,2023-07-04,2023-07-01,Completed,109,106.0,-3.0,-3.0,0,CST-0088,214700.0,136700.0,108700.0,55200.0,-3000.0,512300.0,62200.0,10.83,118400.0,30.06,21.22
PRJ-2023-089,CL-1009,LS-02,Commercial Plaza,10505,702500,477000.0,2024-01-26,2024-07-25,2024-07-24,Completed,181,180.0,-1.0,-1.0,0,CST-0089,230200.0,138400.0,102700.0,62500.0,70000.0,603800.0,98700.0,14.05,126800.0,26.58,17.01
PRJ-2023-090,CL-1059,LS-04,Pool & Hardscape,1406,247000,175900.0,2024-03-16,2024-04-27,2024-04-23,Completed,42,38.0,-4.0,-4.0,0,CST-0090,70000.0,44200.0,28800.0,16700.0,6300.0,166000.0,81000.0,32.79,-9900.0,-5.63,17.35
PRJ-2023-091,CL-1044,LS-04,Irrigation & Softscape,3133,126500,90200.0,2023-09-19,2023-12-07,2023-12-26,Completed,79,98.0,19.0,19.0,1,CST-0091,41200.0,26700.0,16200.0,6900.0,5100.0,96100.0,30400.0,24.03,5900.0,6.54,16.86
PRJ-2023-092,CL-1009,LS-01,Irrigation & Softscape,4906,157500,108600.0,2023-05-14,2023-08-20,2023-08-19,Completed,98,97.0,-1.0,-1.0,0,CST-0092,47200.0,26300.0,23500.0,8000.0,3000.0,108000.0,49500.0,31.43,-600.0,-0.55,21.76
PRJ-2023-093,CL-1086,LS-01,Pool & Hardscape,2682,388000,261300.0,2023-02-22,2023-04-29,2023-04-28,Completed,66,65.0,-1.0,-1.0,0,CST-0093,99800.0,68800.0,58900.0,25800.0,5100.0,258400.0,129600.0,33.4,-2900.0,-1.11,22.79
PRJ-2023-094,CL-1046,LS-01,Pool & Hardscape,3367,523500,371200.0,2023-04-21,2023-07-08,2023-07-07,Completed,78,77.0,-1.0,-1.0,0,CST-0094,163000.0,91900.0,74200.0,33800.0,18800.0,381700.0,141800.0,27.09,10500.0,2.83,19.44
