client_id,client_name,client_type,primary_location
CL-1052,Resort & Spa Group 052,Hospitality,Downtown Dubai
CL-1053,Private Client 053,Luxury Residential,Business Bay
CL-1054,Private Client 054,Luxury Residential,Business Bay
CL-1055,Resort & Spa Group 055,Hospitality,Jumeirah Golf Estates
CL-1056,Resort & Spa Group 056,Hospitality,Palm Jumeirah
CL-1057,Resort & Spa Group 057,Hospitality,Arabian Ranches
CL-1058,Al-Diyar Holdings 058,Commercial Developer,Palm Jumeirah
CL-1059,Resort & Spa Group 059,Hospitality,Downtown Dubai
CL-1060,Al-Futtaim Holdings 060,Commercial Developer,Jumeirah Golf Estates
CL-1061,Resort & Spa Group 061,Hospitality,Jumeirah Golf Estates
CL-1062,Al-Ghurair Holdings 062,Commercial Developer,Emirates Hills
CL-1063,Al-Futtaim Holdings 063,Commercial Developer,Downtown Dubai
CL-1064,Resort & Spa Group 064,Hospitality,Arabian Ranches
CL-1065,Private Client 065,Luxury Residential,Palm Jumeirah
CL-1066,Resort & Spa Group 066,Hospitality,Jumeirah Golf Estates
CL-1067,Resort & Spa Group 067,Hospitality,Dubai Hills Estate
CL-1068,Private Client 068,Luxury Residential,Dubai Hills Estate
CL-1069,Private Client 069,Luxury Residential,Palm Jumeirah
CL-1070,Al-Futtaim Holdings 070,Corporate Office,Jumeirah Golf Estates
CL-1071,Al-Ghurair Holdings 071,Commercial Developer,Business Bay
CL-1072,Al-Ghurair Holdings 072,Corporate Office,Emirates Hills
CL-1073,Al-Ghurair Holdings 073,Corporate Office,Downtown Dubai
CL-1074,Al-Habtoor Holdings 074,Commercial Developer,Arabian Ranches
CL-1075,Resort & Spa Group 075,Hospitality,Arabian Ranches
CL-1076,Al-Futtaim Holdings 076,Corporate Office,Dubai Hills Estate
CL-1077,Al-Futtaim Holdings 077,Commercial Developer,Emirates Hills
CL-1078,Private Client 078,Luxury Residential,Downtown Dubai
CL-1079,Al-Ghurair Holdings 079,Commercial Developer,Palm Jumeirah
CL-1080,Private Client 080,Luxury Residential,Business Bay
CL-1081,Private Client 081,Luxury Residential,Dubai Hills Estate
CL-1082,Private Client 082,Luxury Residential,Palm Jumeirah
CL-1083,Resort & Spa Group 083,Hospitality,Palm Jumeirah
CL-1084,Al-Habtoor Holdings 084,Commercial Developer,Business Bay
CL-1085,Al-Ghurair Holdings 085,Corporate Office,Downtown Dubai
CL-1086,Al-Diyar Holdings 086,Commercial Developer,Dubai Hills Estate
CL-1087,Al-Diyar Holdings 087,Corporate Office,Dubai Hills Estate
CL-1088,Private Client 088,Luxury Residential,Palm Jumeirah
CL-1089,Al-Habtoor Holdings 089,Corporate Office,Arabian Ranches
CL-1090,Al-Diyar Holdings 090,Corporate Office,Jumeirah Golf Estates
CL-1091,Private Client 091,Luxury Residential,Business Bay
CL-1092,Private Client 092,Luxury Residential,Palm Jumeirah
CL-1093,Al-Habtoor Holdings 093,Corporate Office,Jumeirah Golf Estates
CL-1094,Private Client 094,Luxury Residential,Dubai Hills Estate
CL-1095,Al-Ghurair Holdings 095,Commercial Developer,Downtown Dubai
CL-1096,Al-Ghurair Holdings 096,Corporate Office,Arabian Ranches
CL-1097,Al-Habtoor Holdings 097,Commercial Developer,Arabian Ranches
CL-1098,Al-Futtaim Holdings 098,Commercial Developer,Arabian Ranches
CL-1099,Private Client 099,Luxury Residential,Palm Jumeirah
CL-1100,Private Client 100,Luxury Residential,Palm Jumeirah
CL-1101,Al-Ghurair Holdings 101,Commercial Developer,Arabian Ranches
CL-1102,Al-Diyar Holdings 102,Corporate Office,Dubai Hills Estate
CL-1103,Al-Futtaim Holdings 103,Corporate Office,Dubai Hills Estate
CL-1104,Al-Futtaim Holdings 104,Corporate Office,Arabian Ranches
CL-1105,Resort & Spa Group 105,Hospitality,Jumeirah Golf Estates
CL-1106,Al-Habtoor Holdings 106,Corporate Office,Arabian Ranches
CL-1107,Al-Ghurair Holdings 107,Corporate Office,Dubai Hills Estate
CL-1108,Resort & Spa Group 108,Hospitality,Dubai Hills Estate
CL-1109,Private Client 109,Luxury Residential,Downtown Dubai
CL-1110,Private Client 110,Luxury Residential,Business Bay
CL-1111,Resort & Spa Group 111,Hospitality,Palm Jumeirah
CL-1112,Private Client 112,Luxury Residential,Downtown Dubai
CL-1113,Al-Ghurair Holdings 113,Corporate Office,Palm Jumeirah
CL-1114,Private Client 114,Luxury Residential,Jumeirah Golf Estates
CL-1115,Al-Futtaim Holdings 115,Commercial Developer,Downtown Dubai
CL-1116,Private Client 116,Luxury Residential,Business Bay
CL-1117,Al-Diyar Holdings 117,Commercial Developer,Palm Jumeirah
CL-1118,Al-Futtaim Holdings 118,Commercial Developer,Downtown Dubai
CL-1119,Private Client 119,Luxury Residential,Arabian Ranches
CL-1120,Resort & Spa Group 120,Hospitality,Emirates Hills
