contract_id,project_id,client_id,start_date,end_date,annual_fee_aed,monthly_operating_cost_aed,renewal_status
AMC-0050,PRJ-2023-121,CL-1114,2024-04-01,2025-04-01,8750,470.0,Renewed
AMC-0051,PRJ-2023-124,CL-1015,2023-07-10,2024-07-09,10750,480.0,Expired
AMC-0052,PRJ-2023-125,CL-1081,2024-12-01,2025-12-01,36250,1680.0,Active
AMC-0053,PRJ-2023-128,CL-1105,2023-06-03,2024-06-02,60250,2580.0,Expired
AMC-0054,PRJ-2023-129,CL-1038,2024-10-22,2025-10-22,37500,1990.0,Renewed
AMC-0055,PRJ-2023-131,CL-1114,2024-09-13,2025-09-13,17500,760.0,Renewed
AMC-0056,PRJ-2023-135,CL-1004,2024-07-20,2025-07-20,131750,6120.0,Active
AMC-0057,PRJ-2023-136,CL-1050,2024-07-09,2025-07-09,54250,2720.0,Renewed
AMC-0058,PRJ-2023-141,CL-1102,2024-11-07,2025-11-07,91750,4020.0,Active
AMC-0059,PRJ-2023-146,CL-1017,2023-09-16,2024-09-15,33750,1420.0,Active
AMC-0060,PRJ-2024-150,CL-1052,2023-08-01,2024-07-31,51250,2280.0,Active
AMC-0061,PRJ-2024-151,CL-1013,2024-01-19,2025-01-18,92750,4300.0,Active
AMC-0062,PRJ-2024-153,CL-1031,2024-01-31,2025-01-30,16500,790.0,Renewed
AMC-0063,PRJ-2024-154,CL-1018,2023-07-06,2024-07-05,14250,690.0,Renewed
AMC-0064,PRJ-2024-156,CL-1048,2024-10-01,2025-10-01,26000,1300.0,Active
AMC-0065,PRJ-2024-159,CL-1043,2024-07-07,2025-07-07,37250,1620.0,Renewed
AMC-0066,PRJ-2024-162,CL-1091,2024-12-06,2025-12-06,52000,2410.0,Renewed
AMC-0067,PRJ-2024-165,CL-1062,2023-08-12,2024-08-11,74000,3870.0,Active
AMC-0068,PRJ-2024-169,CL-1013,2024-07-09,2025-07-09,8500,410.0,Renewed
AMC-0069,PRJ-2024-170,CL-1042,2024-08-20,2025-08-20,20500,980.0,Renewed
AMC-0070,PRJ-2024-174,CL-1023,2024-07-15,2025-07-15,131000,5530.0,Renewed
AMC-0071,PRJ-2024-178,CL-1090,2023-07-28,2024-07-27,17000,910.0,Expired
AMC-0072,PRJ-2024-180,CL-1015,2023-06-20,2024-06-19,26750,1220.0,Expired
AMC-0073,PRJ-2024-181,CL-1059,2024-04-29,2025-04-29,19750,1000.0,Renewed
AMC-0074,PRJ-2024-182,CL-1075,2023-07-26,2024-07-25,36250,1620.0,Active
AMC-0075,PRJ-2024-183,CL-1037,2024-04-26,2025-04-26,53000,2430.0,Active
AMC-0076,PRJ-2024-184,CL-1112,2024-04-20,2025-04-20,13500,680.0,Active
AMC-0077,PRJ-2024-186,CL-1069,2023-11-26,2024-11-25,18500,960.0,Renewed
AMC-0078,PRJ-2024-189,CL-1105,2024-09-18,2025-09-18,129000,5420.0,Renewed
AMC-0079,PRJ-2024-191,CL-1083,2024-06-15,2025-06-15,45500,2430.0,Renewed
AMC-0080,PRJ-2024-194,CL-1035,2024-12-03,2025-12-03,80500,4160.0,Active
AMC-0081,PRJ-2024-195,CL-1117,2023-11-27,2024-11-26,31000,1570.0,Active
AMC-0082,PRJ-2024-198,CL-1073,2024-03-09,2025-03-09,19500,890.0,Renewed
AMC-0083,PRJ-2024-200,CL-1059,2023-10-25,2024-10-24,19750,870.0,Renewed
AMC-0084,PRJ-2024-201,CL-1068,2024-06-04,2025-06-04,35000,1470.0,Renewed
AMC-0085,PRJ-2024-202,CL-1091,2024-10-04,2025-10-04,22250,1020.0,Renewed
AMC-0086,PRJ-2024-203,CL-1002,2024-09-02,2025-09-02,18250,780.0,Expired
AMC-0087,PRJ-2024-207,CL-1073,2024-01-14,2025-01-13,60000,2600.0,Renewed
AMC-0088,PRJ-2024-208,CL-1116,2023-07-25,2024-07-24,27000,1270.0,Renewed
AMC-0089,PRJ-2024-209,CL-1119,2024-10-12,2025-10-12,7750,350.0,Renewed
AMC-0090,PRJ-2024-210,CL-1065,2024-05-19,2025-05-19,23500,1040.0,Renewed
AMC-0091,PRJ-2024-211,CL-1082,2024-08-22,2025-08-22,73750,3380.0,Active
AMC-0092,PRJ-2024-218,CL-1103,2024-01-21,2025-01-20,12500,670.0,Renewed
AMC-0093,PRJ-2024-220,CL-1036,2024-11-14,2025-11-14,13500,730.0,Renewed
AMC-0094,PRJ-2024-224,CL-1022,2024-07-07,2025-07-07,71500,3200.0,Renewed
AMC-0095,PRJ-2024-226,CL-1038,2024-02-25,2025-02-24,19500,950.0,Active
AMC-0096,PRJ-2024-236,CL-1053,2024-11-28,2025-11-28,15000,750.0,Active
AMC-0097,PRJ-2024-238,CL-1100,2024-11-17,2025-11-17,63000,3120.0,Renewed
AMC-0098,PRJ-2024-242,CL-1018,2024-01-14,2025-01-13,45750,2180.0,Renewed
AMC-0099,PRJ-2024-248,CL-1112,2023-08-07,2024-08-06,68500,3310.0,Active
AMC-0100,PRJ-2024-249,CL-1055,2024-11-05,2025-11-05,106750,5330.0,Renewed
AMC-0101,PRJ-2024-250,CL-1002,2023-07-22,2024-07-21,31500,1700.0,Active
AMC-0102,PRJ-2024-255,CL-1096,2024-11-23,2025-11-23,70000,3360.0,Active
AMC-0103,PRJ-2024-256,CL-1082,2023-08-27,2024-08-26,22000,1040.0,Renewed
AMC-0104,PRJ-2024-258,CL-1119,2024-07-18,2025-07-18,55500,2550.0,Renewed
AMC-0105,PRJ-2024-260,CL-1090,2024-06-09,2025-06-09,25750,1380.0,Renewed
AMC-0106,PRJ-2024-262,CL-1022,2023-03-24,2024-03-23,25750,1220.0,Renewed
AMC-0107,PRJ-2024-263,CL-1068,2024-07-03,2025-07-03,38250,1800.0,Active
AMC-0108,PRJ-2024-264,CL-1110,2023-10-29,2024-10-28,10000,520.0,Renewed
AMC-0109,PRJ-2024-266,CL-1029,2024-12-06,2025-12-06,12250,540.0,Expired
AMC-0110,PRJ-2024-267,CL-1023,2024-04-17,2025-04-17,66500,2900.0,Active
AMC-0111,PRJ-2024-269,CL-1094,2023-07-26,2024-07-25,40000,1760.0,Active
AMC-0112,PRJ-2024-270,CL-1109,2023-05-15,2024-05-14,5500,270.0,Renewed
AMC-0113,PRJ-2024-272,CL-1065,2024-08-16,2025-08-16,96250,4260.0,Active
AMC-0114,PRJ-2024-274,CL-1026,2024-05-01,2025-05-01,43750,2300.0,Renewed
AMC-0115,PRJ-2024-275,CL-1099,2023-09-06,2024-09-05,43250,1940.0,Expired
AMC-0116,PRJ-2024-276,CL-1028,2024-10-23,2025-10-23,30250,1490.0,Active
AMC-0117,PRJ-2024-277,CL-1105,2023-05-27,2024-05-26,21250,1110.0,Active
AMC-0118,PRJ-2024-280,CL-1022,2024-05-30,2025-05-30,58500,2500.0,Renewed
AMC-0119,PRJ-2024-281,CL-1036,2024-07-31,2025-07-31,19250,850.0,Active
AMC-0120,PRJ-2024-284,CL-1115,2023-10-05,2024-10-04,31000,1360.0,Active
AMC-0121,PRJ-2024-289,CL-1109,2024-03-02,2025-03-02,22250,1010.0,Active
AMC-0122,PRJ-2024-291,CL-1029,2023-03-28,2024-03-27,36500,1530.0,Renewed
AMC-0123,PRJ-2024-296,CL-1021,2024-04-06,2025-04-06,63750,2990.0,Active
AMC-0124,PRJ-2024-297,CL-1022,2024-02-03,2025-02-02,24250,1020.0,Active
AMC-0125,PRJ-2024-298,CL-1091,2023-10-05,2024-10-04,17000,820.0,Renewed
